# Header
# Document: Specific Absorbed Fractions (kg^-1)
# Phantom type: ICRP 145 Adult Female
# Source type: photons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,0.0034376231450568
Brain,Colon wall,0.0
Brain,RLung + LLung,0.0010075514650513
Brain,Stomach wall,0.0017179876076018
Brain,Breast-a + Breast-g,0.0
Brain,ROvary + LOvary,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,0.0
Brain,Liver,0.0005351256144333
Brain,Thyroid,0.0001570312037767
Brain,50-um endosteal region,0.0053493916718634
Brain,Brain,0.0394294014775926
Brain,Salivary glands,0.0090637371004897
Brain,Skin,0.0010247682842255
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,0.022032409513725
Brain,Gallbladder wall,0.0
Brain,Heart wall,0.001186517616509
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,0.0001939409052976
Brain,Muscle,0.0007093966688683
Brain,Oral mucosa,0.0118062630414024
Brain,Pancreas,0.0032846156955003
Brain,Small intestine wall,0.0004601662551559
Brain,Spleen,0.0013524250223213
Brain,Thymus,0.0
Brain,Uterus/cervix,0.0
Brain,Tongue,0.037056110596461
Brain,Tonsils,0.3301337061566664
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,0.0455843141137736
Brain,Alveolar-interstitium,0.0010075514650513
Brain,Thoracic lymph nodes,0.0
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,0.0120676379555796
Brain,Spinal cord,0.0
Brain,Ureters,0.0
Brain,Adipose/residual tissue,0.0008609653961193
Liver,Red (active) marrow,0.0043728272717506
Liver,Colon wall,0.0028402896309465
Liver,RLung + LLung,0.0050447740338113
Liver,Stomach wall,0.0174160435771424
Liver,Breast-a + Breast-g,0.0073661336787881
Liver,ROvary + LOvary,0.0
Liver,Urinary bladder wall,0.0
Liver,Oesophagus wall,0.0053522744293876
Liver,Liver,0.0303427246961105
Liver,Thyroid,0.0
Liver,50-um endosteal region,0.0019110267458484
Liver,Brain,0.0
Liver,Salivary glands,0.0016808443796613
Liver,Skin,0.0014209588009759
Liver,RAdrenal + LAdrenal,0.0
Liver,ET region,0.0
Liver,Gallbladder wall,0.0182231239555087
Liver,Heart wall,0.008176701165148
Liver,RKidney + LKidney,0.0120465383616506
Liver,Systemic lymph nodes,0.0040715429213435
Liver,Muscle,0.0015467227672774
Liver,Oral mucosa,0.0024230452566122
Liver,Pancreas,0.0239179705700304
Liver,Small intestine wall,0.0023630614581223
Liver,Spleen,0.0096288479888048
Liver,Thymus,0.0
Liver,Uterus/cervix,0.0
Liver,Tongue,0.0005466785720221
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),0.0056203925667463
Liver,Left colon wall (left transverse + descending),0.0014314387405351
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.0
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,0.0050447740338113
Liver,Thoracic lymph nodes,5.364775541970946e-06
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,0.0084921276476441
Liver,Ureters,0.0128782077906525
Liver,Adipose/residual tissue,0.0018195880686737
