# Header
# Document: Statistical Uncertainties (%)
# Phantom type: ICRP 145 Adult Female
# Source type: photons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,5.358106619463184
Brain,Colon wall,0.0
Brain,RLung + LLung,66.06259954008567
Brain,Stomach wall,70.60349231000001
Brain,Breast-a + Breast-g,0.0
Brain,ROvary + LOvary,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,0.0
Brain,Liver,99.94998749
Brain,Thyroid,99.94998749
Brain,50-um endosteal region,3.175152792536076
Brain,Brain,11.15175507
Brain,Salivary glands,71.70397421512347
Brain,Skin,14.846007067862288
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,44.72890043998255
Brain,Gallbladder wall,0.0
Brain,Heart wall,99.94998749
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,81.38829239
Brain,Muscle,18.98724095866079
Brain,Oral mucosa,49.73219020662594
Brain,Pancreas,99.38929507
Brain,Small intestine wall,69.88849046713426
Brain,Spleen,99.94998749
Brain,Thymus,0.0
Brain,Uterus/cervix,0.0
Brain,Tongue,42.65018171463742
Brain,Tonsils,63.6214878
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),0.0
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,65.46135269999999
Brain,Alveolar-interstitium,66.06259954008567
Brain,Thoracic lymph nodes,0.0
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,99.94998749
Brain,Spinal cord,0.0
Brain,Ureters,0.0
Brain,Adipose/residual tissue,14.327116808134951
Liver,Red (active) marrow,6.47120377723155
Liver,Colon wall,57.6640795424886
Liver,RLung + LLung,30.786134918056785
Liver,Stomach wall,28.11735623752232
Liver,Breast-a + Breast-g,37.86195413200941
Liver,ROvary + LOvary,0.0
Liver,Urinary bladder wall,0.0
Liver,Oesophagus wall,88.26360149310135
Liver,Liver,11.215927239999996
Liver,Thyroid,0.0
Liver,50-um endosteal region,6.6224033535385445
Liver,Brain,0.0
Liver,Salivary glands,99.94998749
Liver,Skin,19.12590273249443
Liver,RAdrenal + LAdrenal,0.0
Liver,ET region,0.0
Liver,Gallbladder wall,57.90146488
Liver,Heart wall,45.41564963
Liver,RKidney + LKidney,34.08968856087029
Liver,Systemic lymph nodes,61.354728575895145
Liver,Muscle,13.464428174217456
Liver,Oral mucosa,99.94998749
Liver,Pancreas,40.15858006
Liver,Small intestine wall,42.3572469691836
Liver,Spleen,45.37842652
Liver,Thymus,0.0
Liver,Uterus/cervix,0.0
Liver,Tongue,99.2242185974125
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),67.88403212899206
Liver,Left colon wall (left transverse + descending),98.26206634026146
Liver,Rectosigmoid colon wall (sigmoid + rectum),0.0
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,30.786134918056785
Liver,Thoracic lymph nodes,99.94998749
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,99.74767726000002
Liver,Ureters,71.6934158157842
Liver,Adipose/residual tissue,9.970634360788615
