# Header
# Document: Statistical Uncertainties (%)
# Phantom type: ICRP 145 Adult Male
# Source type: photons
# Number of source energies: 1
# Number of source organs: 2
# Number of target organs: 42
# End Header
Source Organ,Target Organ,10 MeV
Brain,Red (active) marrow,4.645942791161271
Brain,Colon wall,81.55090194612087
Brain,RLung + LLung,58.4653025527105
Brain,Stomach wall,56.877130655739286
Brain,Breast-a + Breast-g,0.0
Brain,Testes,0.0
Brain,Urinary bladder wall,0.0
Brain,Oesophagus wall,99.94998749
Brain,Liver,45.639866000000005
Brain,Thyroid,0.0
Brain,50-um endosteal region,3.0013406115309293
Brain,Brain,10.99291383
Brain,Salivary glands,54.51577995268742
Brain,Skin,16.83071955401102
Brain,RAdrenal + LAdrenal,0.0
Brain,ET region,0.0
Brain,Gallbladder wall,99.94998749
Brain,Heart wall,96.01297329000002
Brain,RKidney + LKidney,0.0
Brain,Systemic lymph nodes,72.52901202936258
Brain,Muscle,16.175854189137688
Brain,Oral mucosa,0.0
Brain,Pancreas,99.94998749
Brain,Prostate,0.0
Brain,Small intestine wall,70.31550268160233
Brain,Spleen,99.94998749
Brain,Thymus,0.0
Brain,Tongue,99.94998749
Brain,Tonsils,99.94998749
Brain,Right colon wall (ascending + right transverse),0.0
Brain,Left colon wall (left transverse + descending),81.55090194612085
Brain,Rectosigmoid colon wall (sigmoid + rectum),0.0
Brain,Extrathoracic lymph nodes,99.94998749
Brain,Alveolar-interstitium,58.4653025527105
Brain,Thoracic lymph nodes,0.0
Brain,Entire lens of eye,0.0
Brain,Pituitary gland,0.0
Brain,Spinal cord,0.0
Brain,Ureters,0.0
Brain,Adipose/residual tissue,13.781583667263488
Liver,Red (active) marrow,6.493235865861669
Liver,Colon wall,36.777465145587925
Liver,RLung + LLung,27.603700583308736
Liver,Stomach wall,29.96442915659328
Liver,Breast-a + Breast-g,58.65792816732255
Liver,Testes,0.0
Liver,Urinary bladder wall,91.18805331707264
Liver,Oesophagus wall,99.94998749
Liver,Liver,10.32767868
Liver,Thyroid,99.94998749
Liver,50-um endosteal region,6.61726366105085
Liver,Brain,86.21248057999999
Liver,Salivary glands,0.0
Liver,Skin,17.02567345416534
Liver,RAdrenal + LAdrenal,97.45826429835104
Liver,ET region,0.0
Liver,Gallbladder wall,59.83985848
Liver,Heart wall,32.50546506
Liver,RKidney + LKidney,50.22315702350355
Liver,Systemic lymph nodes,47.73314299090144
Liver,Muscle,11.318326422099515
Liver,Oral mucosa,0.0
Liver,Pancreas,66.54980278
Liver,Prostate,0.0
Liver,Small intestine wall,30.07122772677855
Liver,Spleen,96.15209183999998
Liver,Thymus,0.0
Liver,Tongue,99.94998749
Liver,Tonsils,0.0
Liver,Right colon wall (ascending + right transverse),55.85336364916941
Liver,Left colon wall (left transverse + descending),53.89890348409492
Liver,Rectosigmoid colon wall (sigmoid + rectum),65.24247576520573
Liver,Extrathoracic lymph nodes,0.0
Liver,Alveolar-interstitium,27.603700583308736
Liver,Thoracic lymph nodes,60.61978877000001
Liver,Entire lens of eye,0.0
Liver,Pituitary gland,0.0
Liver,Spinal cord,97.3934922
Liver,Ureters,0.0
Liver,Adipose/residual tissue,9.29776536881838
