Phantom,Source Organ,Source Type,Source Energy (MeV),Organ ID,Marrow mass (kg),Endosteum mass (kg),Total fluence (photons/m2/source),Marrow excluded fluence (photons/m2/source),Endosteum excluded fluence (photons/m2/source),Marrow dose (Gy/source),Marrow Relative Error,Marrow Statistical Uncertainty (%),Endosteum dose (Gy/source),Endosteum Relative Error,Endosteum Statistical Uncertainty (%),Marrow mass fraction,Endosteum mass fraction,Total Active Marrow Mass (kg),Total Endosteum Mass (kg),RBM Dose (Gy/source),RBM Relative Error,RBM Statistical Uncertainty (%),RBM SAF (kg^-1),RBM SAF Statistical Uncertainty (kg^-1),Endosteum Dose (Gy/source),Endosteum SAF (kg^-1),Endosteum SAF Statistical Uncertainty (kg^-1)
Adult Female,Liver,photon,10.0,1400,0.0207,0.0071600000000000006,3.311444926719e-05,0.0,0.0,4.505581240837884e-17,0.8289415789512663,82.89415789512663,4.505581240837884e-17,0.06574161242958436,6.574161242958436,0.02302302302302302,0.017570120978626293,0.8991,0.40751000000000004,6.922976638381941e-15,0.06696584780523099,6.696584780523099,0.004320982151074344,0.00028935823309796414,2.7117104328069737e-15,0.0016925165273675704,0.00011126876557286482
Adult Female,Liver,photon,10.0,1500,,0.00014000000000000001,0.0001389027957425,,0.0,,,,1.5072792968843799e-15,,,,0.0003435498515373856,,,,,,,,,,
Adult Female,Liver,photon,10.0,1700,,0.008320000000000001,0.0001433331422568,,0.0,,,,3.140639066955349e-15,,,,0.02041667689136463,,,,,,,,,,
Adult Female,Liver,photon,10.0,1800,,0.00019,0.0004898031429438999,,0.0,,,,8.053422891677284e-15,,,,0.0004662462270864518,,,,,,,,,,
Adult Female,Liver,photon,10.0,2000,,0.012029999999999999,0.0001615761937812,,0.0,,,,3.668200143526489e-15,,,,0.029520747957105343,,,,,,,,,,
Adult Female,Liver,photon,10.0,2100,,7.000000000000001e-05,3.6951700965e-05,,0.0,,,,9.072617316707831e-16,,,,0.0001717749257686928,,,,,,,,,,
Adult Female,Liver,photon,10.0,2300,,0.0070999999999999995,2.5207805275330004e-05,,0.0,,,,6.070163053921109e-16,,,,0.01742288532796741,,,,,,,,,,
Adult Female,Liver,photon,10.0,2500,0.0072,0.0019,0.00010515937281338001,0.0,0.0,4.82047532668494e-16,0.6204374326850981,62.04374326850981,4.829339110664711e-16,,,0.008008008008008008,0.004662462270864518,,,,,,,,,,
Adult Female,Liver,photon,10.0,2700,0.0684,0.06420000000000001,6.8898308732963e-05,0.0,0.0,5.911325624985336e-16,0.4431931832765787,44.31931832765787,5.926530110461573e-16,,,0.07607607607607608,0.1575421462050011,,,,,,,,,,
Adult Female,Liver,photon,10.0,2900,0.0603,0.033530000000000004,5.735125375181e-05,0.0,0.0,3.728851729283159e-16,0.704246425425905,70.4246425425905,3.7537550168176736e-16,,,0.06706706706706707,0.08228018944320385,,,,,,,,,,
Adult Female,Liver,photon,10.0,3000,,0.00067,6.115896706440001e-05,,0.0,,,,1.5016139695057724e-15,,,,0.001644131432357488,,,,,,,,,,
Adult Female,Liver,photon,10.0,3200,,0.02367,0.0,,0.0,,,,0.0,,,,0.05808446418492797,,,,,,,,,,
Adult Female,Liver,photon,10.0,3300,,0.00033,0.0,,0.0,,,,0.0,,,,0.0008097960786238374,,,,,,,,,,
Adult Female,Liver,photon,10.0,3500,,0.07991,0.0,,0.0,,,,0.0,,,,0.1960933474025177,,,,,,,,,,
Adult Female,Liver,photon,10.0,3600,,0.0045899999999999995,0.0,,0.0,,,,0.0,,,,0.011263527275404282,,,,,,,,,,
Adult Female,Liver,photon,10.0,3800,,0.024399999999999998,0.0,,0.0,,,,0.0,,,,0.05987583126794434,,,,,,,,,,
Adult Female,Liver,photon,10.0,4000,0.0072,0.0016,0.000118627452046781,0.0,0.0,2.2872743526456665e-15,0.9704367152699147,97.04367152699147,2.2873015304885033e-15,,,0.008008008008008008,0.003926284017570121,,,,,,,,,,
Adult Female,Liver,photon,10.0,4200,0.1575,0.039700000000000006,5.7556735491940005e-05,0.0,0.0,6.968299925309028e-16,0.37577067544767573,37.57706754476757,6.977490799481577e-16,,,0.17517517517517517,0.09742092218595863,,,,,,,,,,
Adult Female,Liver,photon,10.0,4400,0.1449,0.0229,0.00074225924790479,0.0,0.0,1.3219487796620335e-14,0.06528419291336673,6.528419291336673,1.3231428453010976e-14,,,0.16116116116116116,0.05619494000147235,,,,,,,,,,
Adult Female,Liver,photon,10.0,4600,0.0252,0.0076,0.00017463374872470002,0.0,0.0,1.946620998935638e-15,0.36250429091213826,36.250429091213825,1.9485306560318167e-15,,,0.028028028028028028,0.018649849083458073,,,,,,,,,,
Adult Female,Liver,photon,10.0,4800,0.0351,0.0088,0.0001262508065331,0.0,0.0,1.212489650232024e-15,0.6959886701027249,69.59886701027249,1.2197845941712953e-15,,,0.03903903903903904,0.021594562096635666,,,,,,,,,,
Adult Female,Liver,photon,10.0,5000,0.1449,0.0206,0.0008874216287402688,0.0,0.0,1.423550407799577e-14,0.13061398582143194,13.061398582143195,1.4247026617469045e-14,,,0.16116116116116116,0.0505509067262153,,,,,,,,,,
Adult Female,Liver,photon,10.0,5200,0.1107,0.018,0.00059544351918933,0.0,0.0,1.0990143672331497e-14,0.17806460092273074,17.806460092273074,1.0993470130152035e-14,,,0.12312312312312312,0.04417069519766385,,,,,,,,,,
Adult Female,Liver,photon,10.0,5400,0.0891,0.0158,0.00020568222007820002,0.0,0.0,4.712646951049495e-15,0.4145986676076008,41.45986676076008,4.712646951049495e-15,,,0.0990990990990991,0.038772054673504946,,,,,,,,,,
Adult Female,Liver,photon,10.0,5600,0.027899999999999998,0.0043,0.00077357468606353,0.0,0.0,1.1632976675920854e-14,0.20790963122390577,20.790963122390576,1.1642125228045885e-14,,,0.03103103103103103,0.010551888297219699,,,,,,,,,,
Adult Male,Liver,photon,10.0,1400,0.0269,0.00941,0.00012935062726621,0.0,0.0,7.783323518013472e-17,0.42695691120637075,42.69569112063707,9.179702187716141e-17,0.06658467422736287,6.658467422736288,0.022987523500256363,0.01728508449669361,1.1702000000000001,0.5444,5.951409546171398e-15,0.06803762554366524,6.803762554366524,0.0037145776688263504,0.0002527310444844682,2.233042312588669e-15,0.0013937553857677892,9.280274831398072e-05
Adult Male,Liver,photon,10.0,1500,,0.00019,0.00029835445908952776,,0.0,,,,4.181385150851955e-15,,,,0.0003490080822924321,,,,,,,,,,
Adult Male,Liver,photon,10.0,1700,,0.01125,0.0001921644977608,,0.0,,,,2.9160833671529142e-15,,,,0.020664952240999266,,,,,,,,,,
Adult Male,Liver,photon,10.0,1800,,0.00025,0.0002970305777222,,0.0,,,,2.4580685226332974e-15,,,,0.0004592211609110948,,,,,,,,,,
Adult Male,Liver,photon,10.0,2000,,0.016309999999999998,0.00011389686224991999,,0.0,,,,1.1873175138847905e-15,,,,0.02995958853783982,,,,,,,,,,
