Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Male,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,1170.2,4.567966019162177e-15,0.0028511001360428776,0.20649305849889685,20.649305849889686,Direct dose calculation
Adult Male,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,1170.1999999999998,5.951409546171398e-15,0.0037145776688263,0.0680376255436652,6.803762554366524,Fluence-to-dose response functions
Adult Male,9500,Liver,photon,10.0,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,493.0286250496823,1.3977646642816797e-14,0.008724160836074666,0.2778073724032739,27.78073724032739,
Adult Male,9500,Liver,photon,10.0,9700_9900,RLung + LLung,1198.7383429115457,6.692342946084982e-15,0.004177031922739225,0.24487656017601497,24.4876560176015,
Adult Male,9500,Liver,photon,10.0,7200_7201_7202_7203,Stomach wall,194.2706753681761,1.8596392563860575e-14,0.011606955293956958,0.37846174979476654,37.84617497947666,
Adult Male,9500,Liver,photon,10.0,6200_6300_6400_6500,Breast-a + Breast-g,25.898324961339796,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,12900_13000,Testes,37.2335030541024,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,13700_13701,Urinary bladder wall,51.098861067696,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,11000_11001_11002,Oesophagus wall,51.805516059568895,6.262419605051999e-15,0.003908694879301261,0.9200383698285723,92.00383698285724,
Adult Male,9500,Liver,photon,10.0,9500,Liver,2360.0000048976,4.250012242e-14,0.0265264899750123,0.1023026373,10.23026373,
Adult Male,9500,Liver,photon,10.0,13200,Thyroid,23.350524289154095,2.5479742099999998e-14,0.0159032041532069,0.7070046719,70.70046719000001,
Adult Male,9500,Liver,photon,10.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,544.4000000000001,1.7758848791559235e-15,0.0011084201588449202,0.20362199727922167,20.362199727922167,Direct dose calculation
Adult Male,9500,Liver,photon,10.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,544.4,2.233042312588669e-15,0.0013937553857677,0.0665846742273628,6.658467422736288,Fluence-to-dose response functions
Adult Male,9500,Liver,photon,10.0,6100,Brain,1517.389677890517,2.383189186e-17,1.4874696930575757e-05,0.9867373034,98.67373033999999,
Adult Male,9500,Liver,photon,10.0,12000_12100,Salivary glands,88.09072105494198,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,12200_12201_12300_12301_12400_12401_12500_12501,Skin,3469.5686797503827,2.118742110426699e-15,0.0013224148108670003,0.14959062067253878,14.959062067253878,
Adult Male,9500,Liver,photon,10.0,100_200,RAdrenal + LAdrenal,17.3654826537696,2.5000295373392922e-14,0.015603957043723077,0.6668624904728767,66.68624904728767,
Adult Male,9500,Liver,photon,10.0,300_301_302_303_401_402_403_404_405,ET region,40.874294211561896,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,7000,Gallbladder wall,10.363612759847,2.9141825220000005e-14,0.0181888966556979,0.5224788326,52.24788326000001,
Adult Male,9500,Liver,photon,10.0,8700,Heart wall,385.83881449935967,9.574822702e-15,0.005976134278088501,0.3336552015,33.36552015,
Adult Male,9500,Liver,photon,10.0,8900_9000_9100_9200_9300_9400,RKidney + LKidney,422.1460954257534,2.0627416552632472e-14,0.012874620759593733,0.2838352125317733,28.383521253177328,
Adult Male,9500,Liver,photon,10.0,10200_10300_10400_10500,Systemic lymph nodes,157.75215354934082,6.589652996295885e-15,0.004112937897392774,0.6555513803999999,65.55513803999999,
Adult Male,9500,Liver,photon,10.0,10600_10700_10800_10900,Muscle,29776.620790656812,1.784282032760639e-15,0.0011136612498872445,0.1105018972443404,11.05018972443404,
Adult Male,9500,Liver,photon,10.0,500_501_600,Oral mucosa,0.132558756435,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,11300,Pancreas,173.6312955899076,9.385140201e-15,0.0058577437729628,0.48532423370000005,48.532423370000004,
Adult Male,9500,Liver,photon,10.0,11500,Prostate,17.6181441863475,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,7400_7401_7402_7403,Small intestine wall,862.6001132021238,3.667229649403205e-15,0.0022889047134880746,0.37148946847087894,37.14894684708789,
Adult Male,9500,Liver,photon,10.0,12700,Spleen,228.399995069508,8.784319743e-15,0.0054827411388899,0.6753284121,67.53284121,
Adult Male,9500,Liver,photon,10.0,13100,Thymus,25.9090285487644,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,500_13300_13301,Tongue,75.63116131116001,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,13400,Tonsils,3.1090947489247,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),199.8816354031003,2.202393747374916e-14,0.013746260559776126,0.3561367956033444,35.61367956033444,
Adult Male,9500,Liver,photon,10.0,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),199.8816446823837,1.2096894535191195e-14,0.007550287701419026,0.45346601638178974,45.346601638178974,
Adult Male,9500,Liver,photon,10.0,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),93.2653449641983,7.639717652217246e-16,0.000476833670526311,0.9994998749,99.94998749,
Adult Male,9500,Liver,photon,10.0,10000,Extrathoracic lymph nodes,15.9491859978336,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,9700_9900,Alveolar-interstitium,1198.7383429115457,6.692342946084982e-15,0.004177031922739225,0.24487656017601497,24.4876560176015,
Adult Male,9500,Liver,photon,10.0,10100,Thoracic lymph nodes,15.9492054466992,7.204104964000001e-15,0.0044964486506173,0.9654511381,96.54511381,
Adult Male,9500,Liver,photon,10.0,6600_6601_6800_6801,Entire lens of eye,0.4563200232799999,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,11400,Pituitary gland,0.6218196488647999,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,12600,Spinal cord,37.951723316125,1.6217737840000003e-14,0.0101223157895585,0.7731602529999999,77.31602529999999,
Adult Male,9500,Liver,photon,10.0,13500_13600,Ureters,16.581775641709697,0.0,0.0,0.0,0.0,
Adult Male,9500,Liver,photon,10.0,11600_11700_11800_11900,Adipose/residual tissue,18212.50240985575,3.7257006058515474e-15,0.002325399414014607,0.09068013518237326,9.068013518237326,
