Phantom,Source Organ ID,Source Organ Name,Source Type,Source Energy (MeV),Target Organ IDs,Target Region Name,Target Region Mass (g),Dose (Gy/source),SAF (kg^-1),Relative Error,Statistical Uncertainty (%),Calculation Method
Adult Female,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,7.404300759067758e-15,0.004621401037775765,0.20695955170250288,20.695955170250286,Direct dose calculation
Adult Female,9500,Liver,photon,10.0,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,Red (active) marrow,899.1,6.922976638381941e-15,0.0043209821510743,0.0669658478052309,6.696584780523099,Fluence-to-dose response functions
Adult Female,9500,Liver,photon,10.0,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,Colon wall,450.2518559416332,3.588714725761714e-15,0.0022398995526492554,0.5596545487397552,55.96545487397552,
Adult Female,9500,Liver,photon,10.0,9700_9900,RLung + LLung,949.7733446006616,8.602762279544197e-15,0.005369421883320351,0.27282392993905574,27.282392993905574,
Adult Female,9500,Liver,photon,10.0,7200_7201_7202_7203,Stomach wall,172.87288770036602,2.5525744163827085e-14,0.01593191638308903,0.36527673692990287,36.527673692990284,
Adult Female,9500,Liver,photon,10.0,6200_6300_6400_6500,Breast-a + Breast-g,512.3095308708365,9.623774873874001e-15,0.006006687820585146,0.3315274570516715,33.15274570516715,
Adult Female,9500,Liver,photon,10.0,11100_11200,ROvary + LOvary,12.6365476832867,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,13700_13701,Urinary bladder wall,40.80452677620801,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,11000_11001_11002,Oesophagus wall,43.218221843014405,1.822502517393947e-15,0.0011375166000541495,0.7773441836999999,77.73441836999999,
Adult Female,9500,Liver,photon,10.0,9500,Liver,1810.000002004968,5.430943821e-14,0.0338972851416581,0.1035567572,10.35567572,
Adult Female,9500,Liver,photon,10.0,13200,Thyroid,19.4553068342601,7.17315561e-15,0.0044771315832334,0.9994998749,99.94998749,
Adult Female,9500,Liver,photon,10.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.50999999999993,3.306079234277107e-15,0.0020634923541626533,0.2098578849414645,20.98578849414645,Direct dose calculation
Adult Female,9500,Liver,photon,10.0,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,50-um endosteal region,407.51,2.7117104328069737e-15,0.0016925165273675,0.0657416124295843,6.574161242958436,Fluence-to-dose response functions
Adult Female,9500,Liver,photon,10.0,6100,Brain,1349.568113424676,2.998533629e-17,1.8715374855479258e-05,0.9994998748999999,99.94998749,
Adult Female,9500,Liver,photon,10.0,12000_12100,Salivary glands,71.7597616442942,4.011621751011326e-18,2.503857356224136e-06,0.9994998749,99.94998749,
Adult Female,9500,Liver,photon,10.0,12200_12201_12300_12301_12400_12401_12500_12501,Skin,2422.0288890218944,1.7903217054058973e-15,0.0011174309170494854,0.16231186275117349,16.23118627511735,
Adult Female,9500,Liver,photon,10.0,100_200,RAdrenal + LAdrenal,15.465087135504,5.040257131052243e-14,0.03145881062107812,0.5941617299423794,59.41617299423794,
Adult Female,9500,Liver,photon,10.0,300_301_302_303_401_402_403_404_405,ET region,19.0777948977352,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,7000,Gallbladder wall,8.2011184280042,2.681295582e-14,0.0167353307063645,0.6799049872,67.99049872,
Adult Female,9500,Liver,photon,10.0,8700,Heart wall,290.88996946725456,1.330041081e-14,0.0083014634764671,0.4277140385,42.77140385,
Adult Female,9500,Liver,photon,10.0,8900_9000_9100_9200_9300_9400,RKidney + LKidney,356.9049464935012,1.3769539184061878e-14,0.008594270376846468,0.39158466670396574,39.15846667039658,
Adult Female,9500,Liver,photon,10.0,10200_10300_10400_10500,Systemic lymph nodes,125.5694786065128,3.4992995938870253e-15,0.0021840910169501873,0.622545469459906,62.2545469459906,
Adult Female,9500,Liver,photon,10.0,10600_10700_10800_10900,Muscle,17926.43830028058,1.923911182396201e-15,0.0012008109103382072,0.13512374663577548,13.512374663577548,
Adult Female,9500,Liver,photon,10.0,500_501_600,Oral mucosa,0.10108664506500001,2.165084493886172e-15,0.00135133945155645,0.9994998748999999,99.94998749,
Adult Female,9500,Liver,photon,10.0,11300,Pancreas,144.55161999975547,1.655032518e-14,0.0103299004796246,0.5884263331,58.842633310000004,
Adult Female,9500,Liver,photon,10.0,7400_7401_7402_7403,Small intestine wall,755.7556190799887,4.70259378264702e-15,0.0029351281767893184,0.4030929778486881,40.30929778486881,
Adult Female,9500,Liver,photon,10.0,12700,Spleen,187.399994554262,1.2931477960000002e-14,0.0080711937033529,0.6984550781999999,69.84550781999998,
Adult Female,9500,Liver,photon,10.0,13100,Thymus,20.5027913149354,3.804305856e-16,0.0002374460952224,0.9994998748999999,99.94998749,
Adult Female,9500,Liver,photon,10.0,13900,Uterus/cervix,81.99316851612399,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,500_13300_13301,Tongue,61.4766985224,2.432748538572463e-15,0.0015184022079381026,0.9980382858991591,99.80382858991591,
Adult Female,9500,Liver,photon,10.0,13400,Tonsils,3.0754149242855,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,7600_7601_7602_7800_7801_7802,Right colon wall (ascending + right transverse),181.35065812577278,8.618379228145843e-15,0.0053791692159616215,0.5781999581879287,57.81999581879287,
Adult Female,9500,Liver,photon,10.0,8000_8001_8002_8200_8201_8202,Left colon wall (left transverse + descending),181.344670568124,2.915813326737876e-16,0.00018199075338266437,0.6266008617951595,62.66008617951595,
Adult Female,9500,Liver,photon,10.0,8400_8401_8402_8600,Rectosigmoid colon wall (sigmoid + rectum),87.5565272477364,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,10000,Extrathoracic lymph nodes,12.6954704544888,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,9700_9900,Alveolar-interstitium,949.7733446006616,8.602762279544197e-15,0.005369421883320351,0.27282392993905574,27.282392993905574,
Adult Female,9500,Liver,photon,10.0,10100,Thoracic lymph nodes,12.6954425665464,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,6600_6601_6800_6801,Entire lens of eye,0.45632004278399996,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,11400,Pituitary gland,0.6150875890969,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,12600,Spinal cord,19.098306243841296,0.0,0.0,0.0,0.0,
Adult Female,9500,Liver,photon,10.0,13500_13600,Ureters,15.377096770091198,1.1421849274688976e-16,7.128957589504658e-05,0.9994998749,99.94998749,
Adult Female,9500,Liver,photon,10.0,11600_11700_11800_11900,Adipose/residual tissue,22325.44390576201,3.2968266588189752e-15,0.002057717350794241,0.09527050471685693,9.527050471685692,
