Phantom Group,Sex,Compound Organ,Acronym,Constituent Organ IDs,Reference Mass (g),Phantom Mass (g),% Error
ICRP145,Male,Red (active) marrow,R-marrow,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600,2896.3451151058944,3245.396722579167,12.051450832043228
ICRP145,Male,Colon wall,Colon,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600,436.26301101385485,493.03833578014877,13.01401295387173
ICRP145,Male,Stem cells of colon,Colon-stem,7601_7801_8001_8201_8401,1.1005800313425569,1.2438187391401687,13.014837968928095
ICRP145,Male,RLung + LLung,Lungs,9700_9900,1060.6968515359013,1198.7383429115407,13.014226560185769
ICRP145,Male,Stomach wall,St-wall,7200_7201_7202_7203,171.89931918877897,194.27067536816895,13.01422035000724
ICRP145,Male,Stem cells of stomach,St-stem,7201,1.0554677357504934,1.1928211312291406,13.013509634283771
ICRP145,Male,Breast-a + Breast-g,Breast,6200_6300_6400_6500,22.942430878073644,25.898324961370193,12.883962030900275
ICRP145,Male,ROvary + LOvary,Ovaries,11100_11200,0.0,0.0,
ICRP145,Male,Testes,Testes,12900_13000,31.775315784325727,37.233503054102286,17.177444614001285
ICRP145,Male,Urinary bladder wall,UB-wall,13700_13701,45.21454868857473,51.09886106769904,13.014201290946906
ICRP145,Male,Urinary bladder basal cells,UB-basal,13701,1.8323037463906737,1.317737831556219,-28.08300293267762
ICRP145,Male,Oesophagus wall,Oesophagus,11000_11001_11002,45.8503239154361,51.805516059629404,12.98833167498826
ICRP145,Male,Oesophagus basal cells,Oesophagus-bas,11001,0.09120915065870157,0.1030714170553999,13.005566120318488
ICRP145,Male,Liver,Liver,9500,2088.232684650478,2360.00000489757,13.014225964602192
ICRP145,Male,Thyroid,Thyroid,13200,20.661579089271694,23.350524289116485,13.014228913611921
ICRP145,Male,50-um endosteal region,Endost-BS,1400_1500_1700_2000_2100_2300_2500_2700_2900_3000_3200_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600,4711.58202829455,5160.969643854012,9.53793466527266
ICRP145,Male,Brain,Brain,6100,1449.5416681878035,1517.3896778905007,4.680652594659103
ICRP145,Male,Salivary glands,S-glands,12000_12100,81.3769264876669,88.09072105496793,8.25024347450445
ICRP145,Male,Skin,Skin,12200_12201,3176.4670101954403,267.70031017701734,-91.57238814954522
ICRP145,Male,Basal cells of skin,Skin-bas,12201,93.69861922226112,8.47000153082754,-90.96037743017752
ICRP145,Male,RAdrenal + LAdrenal,Adrenals,100_200,15.365753900045197,17.365482653760743,13.014192253265646
ICRP145,Male,ET region,ET,300_301_302_303_401_402_403_404_405,37.963907543051505,40.874294211833046,7.666193648483444
ICRP145,Male,Gallbladder wall,GB-wall,7000,9.170194617739174,10.363612759822626,13.014098302503399
ICRP145,Male,Heart wall,Ht-wall,8700,341.40731112772846,385.8388144993086,13.014221407507382
ICRP145,Male,RKidney + LKidney,Kidneys,8900_9000_9100_9200_9300_9400,373.5335986508672,422.1460954257182,13.014223339059775
ICRP145,Male,Systemic lymph nodes,LN-Sys,10200_10300_10400_10500,139.32095807552173,157.75215354933238,13.22930571854067
ICRP145,Male,Muscle,Muscle,10600,26267.36323333447,1200.8277988924913,-95.42844179590668
ICRP145,Male,Oral mucosa,O-mucosa,500_501_600,0.12250422558229317,0.13255875637427758,8.207497124440174
ICRP145,Male,Pancreas,Pancreas,11300,153.6366754934898,173.63129558992782,13.014223350130525
ICRP145,Male,Prostate,Prostate,11500,15.589316664667244,17.618144186398624,13.014217142241142
ICRP145,Male,Small intestine wall,SI-wall,7400_7401_7402_7403,763.2666712941111,862.6001132020851,13.014251197363977
ICRP145,Male,Stem cells of small intestine,SI-stem,7401,2.0036706624923166,2.264442034599205,13.014682352164671
ICRP145,Male,Spleen,Spleen,12700,202.09844362466902,228.39999506950068,13.014227607649511
ICRP145,Male,Thymus,Thymus,13100,22.925457109594,25.909028548785557,13.014228789108733
ICRP145,Male,Uterus/cervix,Uterus,13900,0.0,0.0,
ICRP145,Male,Tongue,Tongue,500_13300_13301,69.83176720910029,75.63116131119254,8.304807874512003
ICRP145,Male,Tonsils,Tonsils,13400,2.900397931324652,3.1090947489144223,7.19545464213097
ICRP145,Male,Right colon wall (ascending + right transverse),RC-wall,7600_7601_7602_7800_7801_7802,176.86413096017506,199.8816354032053,13.014229803449043
ICRP145,Male,Left colon wall (left transverse + descending),LC-wall,8000_8001_8002_8200_8201_8202,176.86415374530185,199.8816446824594,13.014220490549228
ICRP145,Male,Rectosigmoid colon wall (sigmoid + rectum),RS-wall,8400_8401_8402_8600,82.53472630837805,93.27505569448397,13.01310353411285
ICRP145,Male,Stem cells of right colon (ascending + right transverse),RC-stem,7601_7801,0.453006606283195,0.5119609114730238,13.014005617607657
ICRP145,Male,Stem cells of left colon (left transverse + descending),LC-stem,8001_8201,0.36127799667279303,0.4082950725719744,13.014098929961794
ICRP145,Male,Stem cells of rectosigmoid colon (sigmoid + rectum),RSig-stem,8401,0.28629542838656874,0.32356275509517063,13.017087600253923
ICRP145,Male,Basal cells of anterior nasal passages,ET1-bas,302,0.026311444646383204,0.028076494647082444,6.708297565644558
ICRP145,Male,Basal cells of posterior nasal passages + pharynx,ET2-bas,402,0.0902278602647502,0.09782525443563121,8.42023090050948
ICRP145,Male,Extrathoracic lymph nodes,LN-ET,10000,14.81599759293954,15.949185997804115,7.648411102635352
ICRP145,Male,Bronchi basal cells,Bronch-bas,804_805,0.06948528104251393,0.07852180013611612,13.004939978688835
ICRP145,Male,Bronchi secretory cells,Bronch-sec,803_804,0.13853603928044378,0.15656788286134307,13.015994736500836
