"Table 1. Specific absorbed fraction(SAF) values calculated using MRCPs with the liver as the source organ at each energy through Geant4 and the PHITS, respectively.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Target organ,Energy,Female,,,,,Male,,,,,,,
,,ICRP 133,MRCP,,,,ICRP 133,MRCP,,,,,,
,[MeV],SAF[kg-1],Geant4 [kg-1],Relative Error[%],PHITS[kg-1],Relative Error[%],SAF[kg-1],Geant4 [kg-1],Relative Error[%],PHITS[kg-1],Relative Error[%],,,
Red bone marrow,0.1,1.05E-02,8.78E-03,4.50E-03,8.75E-03,4.50E-03,7.57E-03,7.15E-03,4.50E-03,7.13E-03,4.50E-03,,,
,1,8.92E-03,6.07E-03,4.10E-03,6.08E-03,4.10E-03,6.50E-03,4.72E-03,3.80E-03,4.73E-03,3.90E-03,,,
,10,5.10E-03,3.61E-03,4.20E-03,3.63E-03,4.20E-03,3.83E-03,2.88E-03,3.90E-03,2.89E-03,4.00E-03,,,
Colon,0.1,4.66E-03,4.40E-03,2.90E-02,4.40E-03,3.10E-02,1.16E-02,1.22E-02,2.00E-02,1.22E-02,2.40E-02,,,
,1,4.39E-03,4.27E-03,1.40E-02,4.30E-03,1.50E-02,8.89E-03,9.70E-03,1.10E-02,9.74E-03,1.10E-02,,,
,10,2.87E-03,2.79E-03,7.30E-03,2.80E-03,6.90E-03,5.15E-03,5.50E-03,5.70E-03,5.51E-03,5.40E-03,,,
Lungs,0.1,1.75E-02,1.65E-02,1.00E-03,1.65E-02,8.00E-04,1.62E-02,1.51E-02,1.00E-03,1.51E-02,8.00E-04,,,
,1,1.36E-02,1.31E-02,1.00E-03,1.31E-02,1.00E-03,1.23E-02,1.17E-02,1.00E-03,1.17E-02,1.00E-03,,,
,10,7.43E-03,7.04E-03,1.50E-03,7.09E-03,1.30E-03,6.71E-03,6.38E-03,1.50E-03,6.41E-03,1.20E-03,,,
Stomach,0.1,3.20E-02,2.70E-02,5.50E-03,2.70E-02,5.90E-03,2.68E-02,2.65E-02,5.50E-03,2.65E-02,6.00E-03,,,
,1,2.51E-02,2.18E-02,3.80E-03,2.19E-02,3.90E-03,1.99E-02,2.05E-02,3.80E-03,2.05E-02,4.00E-03,,,
,10,1.28E-02,1.13E-02,1.80E-03,1.13E-02,1.90E-03,1.05E-02,1.06E-02,2.00E-03,1.06E-02,2.00E-03,,,
Breast,0.1,8.49E-03,8.88E-03,1.80E-03,8.89E-03,1.80E-03,9.48E-03,1.01E-02,8.00E-03,1.01E-02,8.20E-03,,,
,1,8.80E-03,9.31E-03,2.30E-03,9.33E-03,2.10E-03,1.00E-02,1.08E-02,9.80E-03,1.08E-02,9.40E-03,,,
,10,5.24E-03,5.52E-03,2.80E-03,5.52E-03,2.60E-03,5.76E-03,6.35E-03,8.30E-03,6.33E-03,8.50E-03,,,
