"Table 3. Specific absorbed fraction(SAF) values calculated using MRCPs with the thyroid as the source organ at each energy through Geant4 and the PHITS, respectively.",,,,,,,,,,,
,,,,,,,,,,,
Target organ,Energy,Female,,,,,Male,,,,
,,ICRP 133,MRCP,,,,ICRP 133,MRCP,,,
,[MeV],SAF[kg-1],Geant4 [kg-1],Relative Error[%],PHITS[kg-1],Relative Error[%],SAF[kg-1],Geant4 [kg-1],Relative Error[%],PHITS[kg-1],Relative Error[%]
Red bone marrow,0.1,1.17E-02,1.23E-02,8.85E-03,1.22E-02,8.82E-03,9.96E-03,9.35E-03,9.54E-03,9.33E-03,9.31E-03
,1,1.04E-02,8.65E-03,4.31E-03,8.68E-03,4.28E-03,8.94E-03,6.88E-03,4.08E-03,6.90E-03,4.12E-03
,10,5.94E-03,5.05E-03,3.62E-03,5.08E-03,3.71E-03,5.21E-03,4.07E-03,3.54E-03,4.09E-03,3.58E-03
Colon,0.1,7.94E-05,7.62E-05,1.69E-01,7.62E-05,2.18E-01,3.29E-04,3.20E-04,1.10E-01,3.22E-04,1.26E-01
,1,2.78E-04,2.73E-04,4.90E-02,2.75E-04,5.24E-02,5.90E-04,6.06E-04,3.43E-02,6.09E-04,3.95E-02
,10,3.57E-04,3.64E-04,1.82E-02,3.64E-04,1.74E-02,5.83E-04,6.01E-04,1.46E-02,6.01E-04,1.41E-02
Lungs,0.1,1.82E-02,1.81E-02,1.00E-03,1.81E-02,6.50E-04,1.64E-02,1.60E-02,1.00E-03,1.59E-02,6.50E-04
,1,1.46E-02,1.46E-02,1.00E-03,1.46E-02,8.50E-04,1.33E-02,1.30E-02,1.00E-03,1.30E-02,8.00E-04
,10,8.38E-03,8.24E-03,1.00E-03,8.27E-03,1.15E-03,7.54E-03,7.34E-03,1.00E-03,7.37E-03,1.05E-03
Stomach,0.1,1.23E-03,1.25E-03,2.68E-02,1.25E-03,2.72E-02,1.81E-03,1.79E-03,2.10E-02,1.78E-03,2.28E-02
,1,1.57E-03,1.57E-03,1.33E-02,1.57E-03,1.42E-02,2.00E-03,2.01E-03,1.13E-02,2.02E-03,1.19E-02
,10,1.29E-03,1.28E-03,6.00E-03,1.29E-03,5.80E-03,1.50E-03,1.53E-03,5.00E-03,1.54E-03,4.85E-03
Breast,0.1,5.78E-03,5.87E-03,2.50E-03,5.88E-03,2.20E-03,1.73E-03,1.69E-03,1.70E-02,1.69E-03,1.67E-02
,1,7.08E-03,7.27E-03,2.50E-03,7.29E-03,2.45E-03,2.68E-03,2.70E-03,1.63E-02,2.65E-03,1.62E-02
,10,4.53E-03,4.66E-03,3.00E-03,4.63E-03,3.05E-03,2.10E-03,2.00E-03,1.43E-02,2.04E-03,1.42E-02
Esophagus,0.1,1.38E-01,1.31E-01,5.33E-03,1.31E-01,6.47E-03,1.14E-01,1.09E-01,6.00E-03,1.09E-01,7.10E-03
,1,1.23E-01,1.21E-01,3.00E-03,1.22E-01,3.27E-03,1.02E-01,9.92E-02,3.00E-03,9.96E-02,3.57E-03
,10,4.60E-02,4.32E-02,2.00E-03,4.39E-02,1.83E-03,3.84E-02,3.82E-02,2.00E-03,3.87E-02,1.90E-03
Liver,0.1,2.26E-03,2.34E-03,1.00E-03,2.34E-03,1.10E-03,2.24E-03,2.29E-03,1.00E-03,2.29E-03,1.00E-03
,1,2.45E-03,2.52E-03,1.00E-03,2.52E-03,1.10E-03,2.37E-03,2.41E-03,1.00E-03,2.42E-03,1.00E-03
,10,1.67E-03,1.73E-03,1.00E-03,1.73E-03,1.50E-03,1.61E-03,1.65E-03,1.00E-03,1.66E-03,1.30E-03
Thyroid,0.1,1.45E+00,1.58E+00,1.00E-04,1.58E+00,3.00E-04,1.21E+00,1.35E+00,1.00E-04,1.35E+00,3.00E-04
,1,1.27E+00,1.49E+00,1.00E-04,1.50E+00,4.00E-04,1.06E+00,1.26E+00,1.00E-04,1.27E+00,4.00E-04
,10,1.97E-01,2.27E-01,1.00E-03,2.31E-01,9.00E-04,1.66E-01,1.95E-01,1.00E-03,1.98E-01,8.00E-04
Brain,0.1,3.20E-03,3.25E-03,1.00E-03,3.26E-03,1.00E-03,1.77E-03,1.81E-03,1.00E-03,1.81E-03,1.30E-03
,1,4.46E-03,4.46E-03,1.00E-03,4.48E-03,9.00E-04,2.85E-03,2.92E-03,1.00E-03,2.92E-03,1.10E-03
,10,3.18E-03,3.17E-03,1.00E-03,3.16E-03,1.20E-03,2.24E-03,2.24E-03,1.00E-03,2.25E-03,1.40E-03
Salivary gland,0.1,2.78E-02,2.65E-02,2.00E-03,2.64E-02,1.85E-03,1.45E-02,1.49E-02,2.00E-03,1.49E-02,2.25E-03
,1,2.59E-02,2.53E-02,2.00E-03,2.53E-02,2.35E-03,1.47E-02,1.53E-02,3.00E-03,1.54E-02,2.70E-03
,10,1.48E-02,1.43E-02,3.00E-03,1.44E-02,2.75E-03,8.88E-03,9.09E-03,3.00E-03,9.09E-03,3.10E-03
Skin,0.1,2.77E-03,4.20E-03,6.57E-02,4.21E-03,7.73E-02,2.11E-03,3.06E-03,1.32E-01,3.05E-03,1.09E-01
,1,2.91E-03,4.51E-03,1.11E-02,4.53E-03,1.23E-02,2.32E-03,3.45E-03,1.30E-02,3.46E-03,1.38E-02
,10,1.61E-03,2.46E-03,3.00E-03,2.43E-03,2.83E-03,1.33E-03,1.98E-03,3.29E-03,1.95E-03,3.06E-03
,,,,,,,,,,,
