organ_id,name
100,"Adrenal, left"
200,"Adrenal, right"
300,"ET1, 0~8 um"
301,"ET1, 8~40 um"
302,"ET1, 40~50 um"
303,"ET1, 50 um~surface"
400,"ET2, -15~0 um"
401,"ET2, 0~40 um"
402,"ET2, 40~50 um"
403,"ET2, 50~55 um"
404,"ET2, 55~65 um"
405,"ET2, 65 um~surface"
500,"Oral mucosa, tongue"
501,"Oral mucosa, mouth floor"
600,"Oral mucosa, lips, and cheeks"
700,Trachea
800,"BB1, -11~-6 um"
801,"BB1, -6~0 um"
802,"BB1, 0~10 um"
803,"BB1, 10~35 um"
804,"BB1, 35~40 um"
805,"BB1, 40~50 um"
806,"BB1, 50~60 um"
807,"BB1, 60~70 um"
808,"BB1, 70 um~surface"
900,"Blood in large arteries, head"
910,"Blood in large veins, head"
1000,"Blood in large arteries, trunk"
1010,"Blood in large veins, trunk"
1100,"Blood in large arteries, arms"
1110,"Blood in large veins, arms"
1200,"Blood in large arteries, legs"
1210,"Blood in large veins, legs"
1300,"Humeri, upper, cortical"
1400,"Humeri, upper, spongiosa"
1500,"Humeri, upper, medullary cavity"
1600,"Humeri, lower, cortical"
1700,"Humeri, lower, spongiosa"
1800,"Humeri, lower, medullary cavity"
1900,"Ulnae and radii, cortical"
2000,"Ulnae and radii, spongiosa"
2100,"Ulnae and radii, medullary cavity"
2200,"Wrists and hand bones, cortical"
2300,"Wrists and hand bones, spongiosa"
2400,"Clavicles, cortical"
2500,"Clavicles, spongiosa"
2600,"Cranium, cortical"
2700,"Cranium, spongiosa"
2800,"Femora, upper, cortical"
2900,"Femora, upper, spongiosa"
3000,"Femora, upper, medullary cavity"
3100,"Femora, lower, cortical"
3200,"Femora, lower, spongiosa"
3300,"Femora, lower, medullary cavity"
3400,"Tibiae, fibulae, and patellae, cortical"
3500,"Tibiae, fibulae, and patellae, spongiosa"
3600,"Tibiae, fibulae, and patellae, medullary cavity"
3700,"Ankles and foot, cortical"
3800,"Ankles and foot, spongiosa"
3900,"Mandible, cortical"
4000,"Mandible, spongiosa"
4100,"Pelvis, cortical"
4200,"Pelvis, spongiosa"
4300,"Ribs, cortical"
4400,"Ribs, spongiosa"
4500,"Scapulae, cortical"
4600,"Scapulae, spongiosa"
4700,"Cervical spine, cortical"
4800,"Cervical spine, spongiosa"
4900,"Thoracic spine, cortical"
5000,"Thoracic spine, spongiosa"
5100,"Lumbar spine, cortical"
5200,"Lumbar spine, spongiosa"
5300,"Sacrum, cortical"
5400,"Sacrum, spongiosa"
5500,"Sternum, cortical"
5600,"Sternum, spongiosa"
5700,"Cartilage, costal"
5800,"Cartilage, discs"
6100,Brain
6200,"Breast, left, adipose tissue"
6300,"Breast, left, glandular tissue"
6400,"Breast, right, adipose tissue"
6500,"Breast, right, glandular tissue"
6600,"Eye lens, sensitive, left"
6601,"Eye lens, insensitive, left"
6700,"Cornea, left"
6701,"Aqueous, left"
6702,"Vitreous, left"
6800," Eye lens, sensitive, right"
6801,"Eye lens, insensitive, right"
6900,"Cornea, right"
6901,"Aqueous, right"
6902,"Vitreous, right"
7000,Gallbladder wall
7100,Gallbladder contents
7200,"Stomach wall, 0~60 um"
7201,"Stomach wall, 60~100 um"
7202,"Stomach wall, 100~300 um"
7203,"Stomach wall, 300 um~surface"
7300,Stomach contents
7400,"Small intestine wall, 0~130 um"
7401,"Small intestine wall, 130~150 um"
7402,"Small intestine wall, 150~200 um"
7403,"Small intestine wall, 200 um~surface"
7500,"Small intestine contents, -500~0 um"
7501,"Small intestine contents, centre~500 um"
7600,"Ascending colon wall, 0~280 um"
7601,"Ascending colon wall, 280~300 um"
7602,"Ascending colon wall, 300 um~surface"
7700,Ascending colon contents
7800,"Transverse colon wall, right, 0~280 um"
7801,"Transverse colon wall, right, 280~300 um"
7802,"Transverse colon wall, right, 300 um~surface"
7900,"Transverse colon contents, right"
8000,"Transverse colon wall, left, 0~280 um"
8001,"Transverse colon wall, left, 280~300 um"
8002,"Transverse colon wall, left, 300 um~surface"
8100,"Transverse colon contents, left"
8200,"Descending colon wall, 0~280 um"
8201,"Descending colon wall, 280~300 um"
8202,"Descending colon wall, 300 um~surface"
8300,Descending colon contents
8400,"Sigmoid colon wall, 0~280 um"
8401,"Sigmoid colon wall, 280~300 um"
8402,"Sigmoid colon wall, 300 um~surface"
8500,Sigmoid colon contents
8600,Rectum wall
8700,Heart wall
8800,Blood in heart chamber
8900,"Kidney, left, cortex"
9000,"Kidney, left, medulla"
9100,"Kidney, left, pelvis"
9200,"Kidney, right, cortex"
9300,"Kidney, right, medulla"
9400,"Kidney, right, pelvis"
9500,Liver
9700,"Lung (AI), left"
9900,"Lung (AI), right"
10000,"Lymphatic nodes, ET"
10100,"Lymphatic nodes, thoracic"
10200,"Lymphatic nodes, head"
10300,"Lymphatic nodes, trunk"
10400,"Lymphatic nodes, arms"
10500,"Lymphatic nodes, legs"
10600,"Muscle, head"
10700,"Muscle, trunk"
10800,"Muscle, arms"
10900,"Muscle, legs"
11000,"Oesophagus wall, 0~190 um"
11001,"Oesophagus wall, 190~200 um"
11002,"Oesophagus wall, 200 um~surface"
11003,Oesophagus contents
11100,"Ovary, left"
11200,"Ovary, right"
11300,Pancreas
11400,Pituitary gland
11500,Prostate
11600,"RST, head"
11700,"RST, trunk"
11800,"RST, arms"
11900,"RST, legs"
12000,"Salivary glands, left"
12100,"Salivary glands, right"
12200,"Skin, head, insensitive"
12201,"Skin, head, sensitive, 50~100 um"
12300,"Skin, trunk, insensitive"
12301,"Skin, trunk, sensitive, 50~100 um"
12400,"Skin, arms, insensitive"
12401,"Skin, arms, sensitive, 50~100 um"
12500,"Skin, legs, insensitive"
12501,"Skin, legs, sensitive, 50~100 um"
12600,Spinal cord
12700,Spleen
12800,Teeth
12801,"Teeth, retention region"
12900,"Testis, left"
13000,"Testis, right"
13100,Thymus
13200,Thyroid
13300,"Tongue, upper (food)"
13301,"Tongue, lower"
13400,Tonsils
13500,"Ureter, left"
13600,"Ureter, right"
13700,"Urinary bladder wall, insensitive"
13701,"Urinary bladder wall, sensitive, 118/116~193/185 um"
13800,Urinary bladder contents
13900,Uterus
14000,Air inside body
