Organ ID,Bone Site,Ref_AM_Marrow_Mass(g),Ref_AM_Marrow_Mass(%),Ref_AM_Endosteum_Mass(g),Ref_AM_Endosteum_Mass(%),Ref_AF_Marrow_Mass(g),Ref_AF_Marrow_Mass(%),Ref_AF_Endosteum_Mass(g),Ref_AF_Endosteum_Mass(%)
1400,Humeri_upper_spongiosa,26.9,2.3,9.41,1.7,20.7,2.3,7.16,1.8
1500,Humeri_upper_medullary cavity,0,0,0.19,0,0,0,0.14,0
1700,Humeri_lower_spongiosa,0,0,11.25,2.1,0,0,8.32,2
1800,Humeri_lower_medullary cavity,0,0,0.25,0,0,0,0.19,0
2000,Ulnae and radii_spongiosa,0,0,16.31,3,0,0,12.03,3
2100,Ulnae and radii_medullary cavity,0,0,0.09,0,0,0,0.07,0
2300,Wrists and hand bones_spongiosa,0,0,12.5,2.3,0,0,7.1,1.7
2500,Clavicles_spongiosa,9.3,0.8,2.5,0.5,7.2,0.8,1.9,0.5
2700,Cranium_spongiosa,88.9,7.6,83.4,15.3,68.4,7.6,64.2,15.8
2900,Femora_upper_spongiosa,78.4,6.7,43.34,8,60.3,6.7,33.53,8.2
3000,Femora_upper_medullary cavity,0,0,0.86,0.2,0,0,0.67,0.2
3200,Femora_lower_spongiosa,0,0,47.83,8.8,0,0,23.67,5.8
3300,Femora_lower_medullary cavity,0,0,0.67,0.1,0,0,0.33,0.1
3500,Tibiae_fibulae_and patellae_spongiosa,0,0,87.38,16.1,0,0,79.91,19.6
3600,Tibiae_fibulae_and patellae_medullary cavity,0,0,5.02,0.9,0,0,4.59,1.1
3800,Ankles and foot_spongiosa,0,0,42.2,7.8,0,0,24.4,6
4000,Mandible_spongiosa,9.4,0.8,2,0.4,7.2,0.8,1.6,0.4
4200,Pelvis_spongiosa,205.2,17.5,51.7,9.5,157.5,17.5,39.7,9.7
4400,Ribs_spongiosa,188.8,16.1,29.8,5.5,144.9,16.1,22.9,5.6
4600,Scapulae_spongiosa,32.8,2.8,9.8,1.8,25.2,2.8,7.6,1.9
4800,Cervical spine_spongiosa,45.6,3.9,11.5,2.1,35.1,3.9,8.8,2.2
5000,Thoracic spine_spongiosa,188.8,16.1,26.9,4.9,144.9,16.1,20.6,5.1
5200,Lumbar spine_spongiosa,143.9,12.3,23.4,4.3,110.7,12.3,18,4.4
5400,Sacrum_spongiosa,115.9,9.9,20.6,3.8,89.1,9.9,15.8,3.9
5600,Sternum_spongiosa,36.3,3.1,5.5,1,27.9,3.1,4.3,1.1
