Target region,Acronym,ID number(s)
Red (active) marrow,R-marrow,1400_2500_2700_2900_4000_4200_4400_4600_4800_5000_5200_5400_5600
Colon wall,Colon,7600_7601_7602_7800_7801_7802_8000_8001_8002_8200_8201_8202_8400_8401_8402_8600
RLung + LLung,Lungs,9700_9900
Stomach wall,St-wall,7200_7201_7202_7203
Breast-a + Breast-g,Breast,6200_6300_6400_6500
ROvary + LOvary,Ovaries,11100_11200
Testes,Testes,12900_13000
Urinary bladder wall,UB-wall,13700_13701
Oesophagus wall,Oesophagus,11000_11001_11002
Liver,Liver,9500
Thyroid,Thyroid,13200
50-um endosteal region,Endost-BS,1400_1500_1700_1800_2000_2100_2300_2500_2700_2900_3000_3200_3300_3500_3600_3800_4000_4200_4400_4600_4800_5000_5200_5400_5600
Brain,Brain,6100
Salivary glands,S-glands,12000_12100
Skin,Skin,12200_12201_12300_12301_12400_12401_12500_12501
RAdrenal + LAdrenal,Adrenals,100_200
ET region,ET,300_301_302_303_401_402_403_404_405
Gallbladder wall,GB-wall,7000
Heart wall,Ht-wall,8700
RKidney + LKidney,Kidneys,8900_9000_9100_9200_9300_9400
Systemic lymph nodes,LN-Sys,10200_10300_10400_10500
Muscle,Muscle,10600_10700_10800_10900
Oral mucosa,O-mucosa,500_501_600
Pancreas,Pancreas,11300
Prostate,Prostate,11500
Small intestine wall,SI-wall,7400_7401_7402_7403
Spleen,Spleen,12700
Thymus,Thymus,13100
Uterus/cervix,Uterus,13900
Tongue,Tongue,500_13300_13301
Tonsils,Tonsils,13400
Right colon wall (ascending + right transverse),RC-wall,7600_7601_7602_7800_7801_7802
Left colon wall (left transverse + descending),LC-wall,8000_8001_8002_8200_8201_8202
Rectosigmoid colon wall (sigmoid + rectum),RS-wall,8400_8401_8402_8600
Extrathoracic lymph nodes,LN-ET,10000
Alveolar-interstitium,AI,9700_9900
Thoracic lymph nodes,LN-Th,10100
Entire lens of eye,Lens-ent,6600_6601_6800_6801
Pituitary gland,P-gland,11400
Spinal cord,Sp-cord,12600
Ureters,Ureters,13500_13600
Adipose/residual tissue,Adipose,11600_11700_11800_11900
